frame,timestamp,car_id,car_center,x1,y1,x2,y2,movement,fps
62,1764848882.67,6,"(263, 625)",161,575,365,675,0.4,3.03
63,1764848883.04,1,"(135, 886)",4,824,267,949,0.4,3.01
63,1764848883.04,3,"(211, 732)",98,682,324,783,0.2,3.0
63,1764848883.04,6,"(263, 625)",162,576,364,674,0.4,2.99
64,1764848883.41,1,"(135, 887)",4,825,267,949,0.4,2.98
64,1764848883.41,3,"(211, 732)",98,682,324,783,0.0,2.96
64,1764848883.41,6,"(262, 625)",162,576,363,674,0.6,2.95
65,1764848883.79,1,"(135, 887)",4,825,267,949,0.4,2.93
65,1764848883.79,3,"(211, 732)",98,682,324,783,0.0,2.93
65,1764848883.79,6,"(262, 624)",163,576,362,672,0.8,2.93
66,1764848884.14,1,"(135, 887)",3,825,267,949,0.4,2.94
66,1764848884.14,3,"(211, 732)",98,682,324,783,0.0,2.95
66,1764848884.14,6,"(263, 624)",164,576,362,672,1.0,2.96
67,1764848884.49,1,"(134, 887)",3,825,266,950,0.4,2.97
67,1764848884.49,3,"(211, 732)",98,682,324,783,0.0,2.98
67,1764848884.49,6,"(262, 624)",164,577,361,672,0.8,3.0
68,1764848884.84,1,"(134, 887)",2,825,266,950,0.4,3.02
68,1764848884.84,3,"(211, 732)",98,682,324,783,0.0,3.03
68,1764848884.84,6,"(263, 624)",165,577,361,672,1.0,3.04
69,1764848885.21,1,"(134, 886)",2,824,266,949,0.4,3.04
69,1764848885.21,3,"(210, 734)",98,684,323,785,0.45,3.03
69,1764848885.21,6,"(263, 624)",165,577,361,672,0.8,3.01
70,1764848885.59,1,"(134, 886)",3,824,266,949,0.4,2.98
70,1764848885.59,3,"(210, 734)",98,684,323,785,0.45,2.95
70,1764848885.59,6,"(262, 624)",165,577,360,672,0.8,2.92
71,1764848885.96,1,"(135, 886)",4,824,267,949,0.6,2.92
71,1764848885.96,3,"(210, 734)",98,684,323,785,0.45,2.91
71,1764848885.96,6,"(263, 625)",166,578,360,672,0.88,2.91
72,1764848886.3,1,"(135, 886)",4,824,267,949,0.4,2.91
72,1764848886.3,3,"(210, 734)",98,684,323,785,0.45,2.92
72,1764848886.3,6,"(263, 624)",166,578,360,671,0.88,2.94
73,1764848886.65,1,"(136, 886)",5,824,268,949,0.6,2.96
73,1764848886.65,3,"(210, 734)",98,684,323,785,0.45,3.0
73,1764848886.65,6,"(263, 624)",167,578,359,671,0.68,3.04
74,1764848887.0,1,"(136, 886)",5,824,268,948,0.4,3.07
74,1764848887.0,3,"(210, 734)",98,684,323,785,0.0,3.08
74,1764848887.0,6,"(263, 624)",167,578,359,671,0.68,3.08
75,1764848887.35,1,"(137, 886)",5,824,269,948,0.6,3.09
75,1764848887.35,3,"(210, 734)",98,684,323,785,0.0,3.1
75,1764848887.35,6,"(263, 624)",168,578,358,671,0.48,3.1
76,1764848887.7,1,"(137, 886)",5,824,269,948,0.4,3.1
76,1764848887.7,3,"(210, 734)",98,684,323,785,0.0,3.1
76,1764848887.7,6,"(263, 625)",168,579,358,671,0.4,3.09
77,1764848888.04,1,"(137, 885)",5,823,270,948,0.6,3.09
77,1764848888.04,3,"(210, 735)",98,684,323,786,0.2,3.1
77,1764848888.04,6,"(263, 625)",168,579,358,671,0.2,3.1
78,1764848888.39,1,"(137, 885)",6,823,269,948,0.4,3.1
78,1764848888.39,3,"(210, 735)",98,684,323,786,0.2,3.1
78,1764848888.39,6,"(263, 624)",169,579,357,670,0.4,3.09
79,1764848888.74,1,"(138, 885)",6,823,270,948,0.6,3.09
79,1764848888.74,3,"(211, 735)",98,684,324,786,0.4,3.09
79,1764848888.74,6,"(263, 624)",169,579,357,670,0.4,3.08
80,1764848889.09,1,"(138, 885)",6,823,270,948,0.4,3.08
80,1764848889.09,3,"(211, 735)",98,684,324,786,0.4,3.08
